"geoFormatAddress","instrument","basis","date","terminalName","county","cropType","lat","long"
"1 E Pacific St, 65339","CORNCAEMBN-C1",0,"2/27/2020","Central Missouri AgriService","Malta Bend","Corn",39.1975179,-93.3611998
"1 East Grand Ave, 63101","CORNADMSTL-C1",0.27,"2/27/2020","ADM","Saint Louis","Corn",38.6788479,-90.1934637
"1 N Brunswick St, 64601","CORNMLBCHL-C1",0,"2/27/2020","Milbank Mills","Chillicothe","Corn",39.7889679,-93.5458979
"100 Railroad street, 64624","CORNCNMBYM-C1",-0.11,"2/27/2020","Consumers","Braymer","Corn",39.5875458,-93.791676
"100 Ward Ave, 63830","CORNBNGCRT-C1",0.24,"2/27/2020","Bunge","Caruthersville","Corn",36.1938807,-89.652528
"1005 E Lake Blvd, 64501","CORNBRGSTJ-C1",-0.06,"2/27/2020","Bartlett Grain","St Joseph","Corn",39.73388,-94.8477455
"101 S Cherry St, 64668","CORNRCGNRB-C1",0,"2/27/2020","Ray Carroll Grain","Norborne","Corn",39.30249,-93.68024
"102 2nd St, 65254","CORNMFAGLG-C1",0,"2/27/2020","MFA","Glasgow","Corn",39.2214844,-92.8464125
"102 Main St, 64437","CORNCGICRA-C1",-0.22,"2/27/2020","Craig Grain","Craig","Corn",40.1918626,-95.3743945
"102 S Walnut, 64429","CORNCEVCME-C1",-0.12,"2/27/2020","Cameron Elevator","Cameron","Corn",39.739743,-94.2366275
"103 N Main St, 64019","CORNWCACNV-C1",-0.05,"2/27/2020","West Central Ag","Centerview","Corn",38.7441852,-93.844896
"1035 MO-79, 63353","CORNBNGLOU-C1",-0.05,"2/27/2020","Bunge","Louisiana","Corn",39.440695,-91.035336
"105 E John, 64659","CORNBAAMEV-C1",-0.25,"2/27/2020","Butterfield and Assoc Grain","Meadville","Corn",39.7853544,-93.3021066
"105 S Highway 5, 64630","CORNMFABWI-C1",-0.4,"2/27/2020","MFA","Browning","Corn",40.034761,-93.161919
"105 W 22nd St, 64037","CORNMFAHGN-C1",-0.01,"2/27/2020","MFA","Higginsville","Corn",39.0726437,-93.7195812
"1058 Hwy 36, 63437","CORNCHNCLE-C1",-0.04,"2/27/2020","Chinn Feed Mill","Clarence","Corn",39.7333551,-92.2433487
"106 E Collins St, 64001","CORNMFAALM-C1",0,"2/27/2020","MFA","Alma","Corn",39.0950551,-93.5450398
"106 E Washington St, 65350","CORNCRPSIH-C1",0.2,"2/27/2020","JBS United","Smithton","Corn",38.6836215,-93.0922581
"107 W 6th St, 65682","CORNLFELKW-C1",0,"2/27/2020","Lockwood Farmers Exchange","Lockwood","Corn",37.3877397,-93.9577558
"108 Market St, 65240","CORNMFACTL-C1",-0.21,"2/27/2020","MFA","Centralia","Corn",39.2601347,-92.1057549
"109 Main St, 65708","CORNMSFNTT-C1",0.55,"2/27/2020","Main Street Feeds","Monett","Corn",36.9112885,-93.8750875
"1101 W Main St, 64428","CORNMFABRL-C1",-0.36,"2/27/2020","MFA","Burlington Junct","Corn",40.44543,-95.077368
"111 Armstrong St, 65248","CORNMFAFYT-C1",0,"2/27/2020","MFA","Fayette","Corn",39.1404966,-92.6800122
"111 NW RailRoad St, 64076","CORNMFAODS-C1",-0.01,"2/27/2020","MFA","Odessa","Corn",39.0013624,-93.9548073
