"","Instrument","CF_NAME","CF_BID","CF_DATE","GEN_TEXT16","ROW80_1","ROW80_2","GN_TXT16_2","GN_TXT16_4","ROW80_3","Location"
"1","CORNWCAADR-C1","CORN MOADR SPOT ","0.15","2020-02-27","West Central Ag ","West Central Ag                                                                 ","S71 Hwy                                                                         ","Adrian          ","Corn            ","""Adrian, MO - 64720.  Phone - 816-2974-518""                                     ","CORN MO Adrian  "
"2","CORNWCAADR-G","CORN MOADR FEB20","0.15","2020-02-27","West Central Ag ","West Central Ag                                                                 ","S71 Hwy                                                                         ","Adrian          ","Corn            ","""Adrian, MO - 64720.  Phone - 816-2974-518""                                     ","CORN MO Adrian  "
"3","CORNWCAADR-H","CORN MOADR MAR20",NA,NA,"West Central Ag ","West Central Ag                                                                 ","S71 Hwy                                                                         ","Adrian          ","Corn            ","""Adrian, MO - 64720.  Phone - 816-2974-518""                                     ","CORN MO Adrian  "
"4","CORNWCAADR-J","CORN MOADR APR20",NA,NA,"West Central Ag ","West Central Ag                                                                 ","S71 Hwy                                                                         ","Adrian          ","Corn            ","""Adrian, MO - 64720.  Phone - 816-2974-518""                                     ","CORN MO Adrian  "
"5","CORNWCAADR-K","CORN MOADR MAY20",NA,NA,"West Central Ag ","West Central Ag                                                                 ","S71 Hwy                                                                         ","Adrian          ","Corn            ","""Adrian, MO - 64720.  Phone - 816-2974-518""                                     ","CORN MO Adrian  "
"6","CORNWCAADR-M","CORN MOADR JUN20","0.15","2020-02-27","West Central Ag ","West Central Ag                                                                 ","S71 Hwy                                                                         ","Adrian          ","Corn            ","""Adrian, MO - 64720.  Phone - 816-2974-518""                                     ","CORN MO Adrian  "
"7","CORNWCAADR-N","CORN MOADR JUL20",NA,NA,"West Central Ag ","West Central Ag                                                                 ","S71 Hwy                                                                         ","Adrian          ","Corn            ","""Adrian, MO - 64720.  Phone - 816-2974-518""                                     ","CORN MO Adrian  "
"8","CORNWCAADR-Q","CORN MOADR AUG20",NA,NA,"West Central Ag ","West Central Ag                                                                 ","S71 Hwy                                                                         ","Adrian          ","Corn            ","""Adrian, MO - 64720.  Phone - 816-2974-518""                                     ","CORN MO Adrian  "
"9","CORNWCAADR-U","CORN MOADR SEP20",NA,NA,"West Central Ag ","West Central Ag                                                                 ","S71 Hwy                                                                         ","Adrian          ","Corn            ","""Adrian, MO - 64720.  Phone - 816-2974-518""                                     ","CORN MO Adrian  "
"10","CORNWCAADR-V","CORN MOADR OCT20","-0.1","2020-02-27","West Central Ag ","West Central Ag                                                                 ","S71 Hwy                                                                         ","Adrian          ","Corn            ","""Adrian, MO - 64720.  Phone - 816-2974-518""                                     ","CORN MO Adrian  "
"11","CORNWCAADR-X","CORN MOADR NOV20",NA,NA,"West Central Ag ","West Central Ag                                                                 ","S71 Hwy                                                                         ","Adrian          ","Corn            ","""Adrian, MO - 64720.  Phone - 816-2974-518""                                     ","CORN MO Adrian  "
