Instrument,CF_NAME,CF_BID,CF_DATE,GEN_TEXT16,ROW80_1,ROW80_2,GN_TXT16_2,GN_TXT16_4,ROW80_3,Location
CORNWCAADR-C1,CORN MOADR SPOT ,0.15,2/27/2020,West Central Ag ,West Central Ag                                                                 ,S71 Hwy                                                                         ,Adrian          ,Corn            ,"""Adrian, MO - 64720.  Phone - 816-2974-518""                                     ",CORN MO Adrian  
CORNWCAADR-G,CORN MOADR FEB20,0.15,2/27/2020,West Central Ag ,West Central Ag                                                                 ,S71 Hwy                                                                         ,Adrian          ,Corn            ,"""Adrian, MO - 64720.  Phone - 816-2974-518""                                     ",CORN MO Adrian  
CORNWCAADR-H,CORN MOADR MAR20,NA,NA,West Central Ag ,West Central Ag                                                                 ,S71 Hwy                                                                         ,Adrian          ,Corn            ,"""Adrian, MO - 64720.  Phone - 816-2974-518""                                     ",CORN MO Adrian  
CORNWCAADR-J,CORN MOADR APR20,NA,NA,West Central Ag ,West Central Ag                                                                 ,S71 Hwy                                                                         ,Adrian          ,Corn            ,"""Adrian, MO - 64720.  Phone - 816-2974-518""                                     ",CORN MO Adrian  
CORNWCAADR-K,CORN MOADR MAY20,NA,NA,West Central Ag ,West Central Ag                                                                 ,S71 Hwy                                                                         ,Adrian          ,Corn            ,"""Adrian, MO - 64720.  Phone - 816-2974-518""                                     ",CORN MO Adrian  
CORNWCAADR-M,CORN MOADR JUN20,0.15,2/27/2020,West Central Ag ,West Central Ag                                                                 ,S71 Hwy                                                                         ,Adrian          ,Corn            ,"""Adrian, MO - 64720.  Phone - 816-2974-518""                                     ",CORN MO Adrian  
CORNWCAADR-N,CORN MOADR JUL20,NA,NA,West Central Ag ,West Central Ag                                                                 ,S71 Hwy                                                                         ,Adrian          ,Corn            ,"""Adrian, MO - 64720.  Phone - 816-2974-518""                                     ",CORN MO Adrian  
CORNWCAADR-Q,CORN MOADR AUG20,NA,NA,West Central Ag ,West Central Ag                                                                 ,S71 Hwy                                                                         ,Adrian          ,Corn            ,"""Adrian, MO - 64720.  Phone - 816-2974-518""                                     ",CORN MO Adrian  
CORNWCAADR-U,CORN MOADR SEP20,NA,NA,West Central Ag ,West Central Ag                                                                 ,S71 Hwy                                                                         ,Adrian          ,Corn            ,"""Adrian, MO - 64720.  Phone - 816-2974-518""                                     ",CORN MO Adrian  
CORNWCAADR-V,CORN MOADR OCT20,-0.1,2/27/2020,West Central Ag ,West Central Ag                                                                 ,S71 Hwy                                                                         ,Adrian          ,Corn            ,"""Adrian, MO - 64720.  Phone - 816-2974-518""                                     ",CORN MO Adrian  
