"Instrument","CF_NAME","CF_BID","CF_DATE","GEN_TEXT16","ROW80_1","ROW80_2","GN_TXT16_2","GN_TXT16_4","ROW80_3","Location","octAvg","janAvg"
"CORNADMBIN-C1","CORN MOBIN SPOT ",NA,NA,"ADM             ","ADM                                                                             ","RR 1 Box 21                                                                     ","Baring          ","Corn            ","""Baring, MO - 63531.  Phone - 660-8924-411""                                     ","CORN MO Baring  ",NA,NA
"CORNADMCTR-C1","CORN MOCTR SPOT ","-0.08","2020-03-06","ADM             ","ADM                                                                             ","200 E Lamb St                                                                   ","Center          ","Corn            ","""Center, MO - 63436.  Phone - 573-2673-692""                                     ","CORN MO Center  ",-0.276363636363636,-0.222380952380952
"CORNADMDUD-C1","CORN MODUD SPOT ",NA,NA,"ADM             ","ADM                                                                             ","7466 US Highway 60                                                              ","Dudley          ","Corn            ","""Dudley, MO - 63936.  Phone - 573-9673-662""                                     ","CORN MO Dudley  ",NA,NA
"CORNADMLAB-C1","CORN MOLAB SPOT ","-0.17","2020-03-06","ADM             ","ADM                                                                             ","210 N 7th St                                                                    ","La Belle        ","Corn            ","""La Belle, MO - 63447.  Phone - 800-5193-626""                                   ","CORN MO La Belle",NA,-0.304761904761905
"CORNADMLAD-C1","CORN MOLAD SPOT ",NA,NA,"ADM             ","ADM                                                                             ","601 1st St                                                                      ","Laddonia        ","Corn            ","""Laddonia, MO - 63352.  Phone - 573-3735-311""                                   ","CORN MO Laddonia",NA,NA
"CORNADMLAL-C1","CORN MOLAL SPOT ",NA,NA,"StheasternGrain ","Southeastern Grain                                                              ","605 Front St                                                                    ","Laclede         ","Corn            ","""Laclede, MO - 64651.  Phone - 660-9632-227""                                    ","CORN MO Laclede ",NA,NA
"CORNADMLAP-C1","CORN MOLAP SPOT ",NA,NA,"ADM             ","ADM                                                                             ","East Moore Street                                                               ","La Plata        ","Corn            ","""La Plata, MO - 63549.  Phone - 800-4734-517""                                   ","CORN MO La Plata",NA,NA
"CORNADMMCN-C1","CORN MOMCN SPOT ","-0.02","2020-03-06","ADM             ","ADM                                                                             ","100 Front St                                                                    ","Macon           ","Corn            ","""Macon, IL - 62544.  Phone - 217-7643-345""                                      ","CORN MO Macon   ",-0.0713636363636364,-0.00857142857142857
"CORNADMMRT-C1","CORN MOMRT SPOT ","0.25","2020-03-06","ADM             ","ADM                                                                             ","734 New Madrid County Rd                                                        ","Marston         ","Corn            ","""Marston, MO - 63866.  Phone - 573-6430-055""                                    ","CORN MO Marston ",-0.0690909090909091,0.189047619047619
"CORNADMMTM-C1","CORN MOMTM SPOT ","0","2020-03-06","ADM             ","ADM                                                                             ","320 Short St                                                                    ","Montgomery City ","Corn            ","""Montgomery City, MO - 63361.  Phone - 573-5642-089""                            ","CORN MO Montgome",-0.18,-0.0680952380952381
"CORNADMNOV-C1","CORN MONOV SPOT ","-0.16","2020-03-06","ADM             ","ADM                                                                             ","-                                                                               ","Novelty         ","Corn            ","""Novelty, MO - 63460.  Phone - 800-6783-323""                                    ","CORN MO Novelty ",NA,-0.286666666666667
"CORNADMRNL-C1","CORN MORNL SPOT ","0","2020-03-06","ADM             ","ADM                                                                             ","115 Bluff St                                                                    ","Rhineland       ","Corn            ","""Rhineland, MO - 65069.  Phone - 573-2364-377""                                  ","CORN MO Rhinelan",-0.18,-0.0680952380952381
"CORNADMSHE-C1","CORN MOSHE SPOT ","-0.2","2020-03-06","ADM             ","ADM                                                                             ","308 E Chestnut St                                                               ","Shelbina        ","Corn            ","""Shelbina, MO - 63468.  Phone - 573-5887-629""                                   ","CORN MO Shelbina",-0.358636363636364,-0.301904761904762
