Instrument,CF_NAME,CF_BID,CF_DATE,GEN_TEXT16,ROW80_1,ROW80_2,GN_TXT16_2,GN_TXT16_4,ROW80_3,Location
CORNWCAADR-C1,CORN MOADR SPOT ,0.15,2/27/2020,West Central Ag ,West Central Ag                                                                 ,S71 Hwy                                                                         ,Adrian          ,Corn            ,"""Adrian, MO - 64720.  Phone - 816-2974-518""                                     ",CORN MO Adrian  
CORNMFAALM-C1,CORN MOALM SPOT ,0,2/27/2020,MFA             ,MFA                                                                             ,106 E Collins St                                                                ,Alma            ,Corn            ,"""Alma, MO - 64001.  Phone - 660-6742-291""                                       ",CORN MO Alma    
CORNADMBIN-C1,CORN MOBIN SPOT ,NA,NA,ADM             ,ADM                                                                             ,RR 1 Box 21                                                                     ,Baring          ,Corn            ,"""Baring, MO - 63531.  Phone - 660-8924-411""                                     ",CORN MO Baring  
CORNGFGBTH-C1,CORN MOBTH SPOT ,NA,NA,GangesFeedandGra,31019 E 260th Ave                                                               ,"Bethany, MO - 64424                                                             ",Bethany         ,Corn            ,660-425-3014                                                                    ,CORN MO Bethany 
CORNCAEBCB-C1,CORN MOBCB SPOT ,0,2/27/2020,C.Missouri AgriS,Central Missouri AgriService                                                    ,PO Box 151                                                                      ,Blackburn       ,Corn            ,"""Blackburn, MO - 65321.  Phone - 660-5384-543""                                  ",CORN MO Blackbrn
CORNMFABOO-C1,CORN MOBOO SPOT ,0,2/27/2020,MFA             ,MFA                                                                             ,605 E Water St                                                                  ,Boonville       ,Corn            ,"""Boonville, MO - 65233.  Phone - 660-8822-290""                                  ",CORN MO Boonvill
CORNCNMBYM-C1,CORN MOBYM SPOT ,-0.11,2/27/2020,Consumers       ,Consumers                                                                       ,100 Raiload St                                                                  ,Braymer         ,Corn            ,"""Braymer, MO - 64624.  Phone - 660-6452-215""                                    ",CORN MO Braymer 
CORNMFABWI-C1,CORN MOBWI SPOT ,-0.4,2/27/2020,MFA             ,MFA                                                                             ,105 S Highway 5                                                                 ,Browning        ,Corn            ,"""Browning, MO - 64630.  Phone - 660-9464-114""                                   ",CORN MO Browning
CORNRCGBRU-C1,CORN MOBRU SPOT ,0,2/27/2020,RayCarrollGrain ,Ray Carroll Grain                                                               ,17149 Hwy 24                                                                    ,Brunswick       ,Corn            ,"""Brunswick, MO - 65236.  Phone - 660-5483-131""                                  ",CORN MO Brunswic
CORNMFABRL-C1,CORN MOBRL SPOT ,-0.36,2/27/2020,MFA             ,MFA                                                                             ,110 W Main                                                                      ,Burlington Junct,Corn            ,"""Burlington Junction, MO - 64428.  Phone - 660-7253-302""                        ",CORN MO Burlingt
CORNSCCCIV-C1,CORN MOCIV SPOT ,-0.3,2/27/2020,SouthCentralCoop,South Central Coop                                                              ,1301 Main St                                                                    ,Cainsville      ,Corn            ,"""Cainsville, MO - 64632.  Phone - 660-8935-218""                                 ",CORN MO Cainsvil
CORNRCGCAR2-C1,CORN MOCA2 SPOT ,-0.1,2/27/2020,RayCarrollGrain ,Ray Carroll Grain                                                               ,30537 CR 308                                                                    ,Carrollton      ,Corn            ,"""Carrollton, MO - 64687.  Phone - 660-5422-412""                                 ",CORN MO Carroll2
CORNRCGCAR-C1,CORN MOCAR SPOT ,0.15,2/27/2020,RayCarrollGrain ,Ray Carroll Grain                                                               ,26274 Hwy 24                                                                    ,Carrollton      ,Corn            ,"""Carrollton, MO - 64633.  Phone - 660-5422-745""                                 ",CORN MO Carrollt
CORNBNGCRT-C1,CORN MOCRT SPOT ,0.24,2/27/2020,Bunge           ,Bunge                                                                           ,Carlton and Riverfront                                                          ,Caruthersville  ,Corn            ,"""Caruthersville, MO - 63830.  Phone - 573-3334-121""                             ",CORN MO Caruther
CORNCGBCRT-C1,CORN MOCRT SPOT ,0.2,2/27/2020,Cnslidated Grain,Consolidated Grain and Barge                                                    ,Pemiscott Co Port Cty Rd 337                                                    ,Caruthersville  ,Corn            ,"""Caruthersville, MO - 63830.  Phone - 573-3590-036""                             ",CORN MO Caruther
CORNADMCTR-C1,CORN MOCTR SPOT ,-0.1,2/27/2020,ADM             ,ADM                                                                             ,200 E Lamb St                                                                   ,Center          ,Corn            ,"""Center, MO - 63436.  Phone - 573-2673-692""                                     ",CORN MO Center  
CORNWCACNV-C1,CORN MOCNV SPOT ,-0.05,2/27/2020,West Central Ag ,West Central Ag                                                                 ,S Graham St                                                                     ,Centerview      ,Corn            ,"""Centerview, MO - 64019.  Phone - 800-8216-345""                                 ",CORN MO Centervi
CORNCRGCTL-C1,CORN MOCTL SPOT ,0.02,2/27/2020,JBS United      ,JBS United                                                                      ,22701 N March Rd                                                                ,Centralia       ,Corn            ,"""Centralia, MO - 65240.  Phone - 913-2360-894""                                  ",CORN MO Centrali
CORNMFACTL-C1,CORN MOCTL SPOT ,-0.21,2/27/2020,MFA             ,MFA                                                                             ,108 Market St                                                                   ,Centralia       ,Corn            ,"""Centralia, MO - 65240.  Phone - 573-7635-317""                                  ",CORN MO Centrali
CORNCRGCHO-C1,CORN MOCHO SPOT ,0.2,2/27/2020,Cargill         ,Cargill                                                                         ,758 State Highway N                                                             ,Charleston      ,Corn            ,"""Charleston, MO - 63834.  Phone - 800-7422-789""                                 ",CORN MO Charlstn
CORNCGBCHO-C1,CORN MOCHO SPOT ,0.18,2/27/2020,Cnslidated Grain,Consolidated Grain and Barge                                                    ,6720 E Highway K                                                                ,Charleston      ,Corn            ,"""Charleston, MO - 63834.  Phone - 573-6753-433""                                 ",CORN MO Charlstn
CORNWCACIL-C1,CORN MOCIL SPOT ,-0.05,2/27/2020,West Central Ag ,West Central Ag                                                                 ,209 E Barnum Ave                                                                ,Chilhowee       ,Corn            ,"""Chilhowee, MO - 64733.  Phone - 816-2974-518""                                  ",CORN MO Chilhowe
CORNCHUCUA-C1,CORN MOCUA SPOT ,-0.4,2/27/2020,Chula Farmers   ,Chula Farmers                                                                   ,215 Manning Ave                                                                 ,Chula           ,Corn            ,"""Chula, MO - 64635.  Phone - 660-6393-125""                                      ",CORN MO Chula   
