"","address","lat","long"
"1","31019 E 260th Ave, 64424",40.2634894,-93.931917
"2","105 S Highway 5, 64630",40.034761,-93.161919
"3","17149 Hwy 24, 65236",39.2101924,-96.3157878
"4","30537 CR 308, 64687",34.9766457,-83.3254958
"5","26274 Hwy 24, 64633",39.3664109,-93.4527307
"6","22701 N March Rd, 65240",39.2208654,-92.1635449
"7","6720 E Highway K, 63834",37.6121479,-89.8912146
"8","18115 State Hwy B, 64670",40.1047739,-94.0060978
"9","601 S Main St, 64020, 64020",38.9829574,-93.5679441
"10","15053 Highway 111, 64437",40.1826342,-95.3712397
"11","7466 US Highway 60, 63936",37.8847037,-86.1121063
"12","20314 South Highway 77, 63845",36.6379388,-89.232759
"13","3880 Audrain Road 541, 63345",39.2812527,-91.5490671
"14","202 E Main, 64035",39.2694742,-93.8322431
"15","1275 SE Y Hwy, 65336",38.7112044,-93.507723
"16","1901 Hwy Kk, 64759, 64759",37.4855942,-94.2696737
"17","410 E 2nd S, 64652",43.8218402,-111.7759408
"18","24th and Monroe Sts, 64067",39.181069,-93.866677
"19","14680 US Hwy 136, 64655",40.4675668,-93.2781305
"20","734 New Madrid County Rd, 63866",36.5250577,-89.6181018
"21","2816 E Liberty, 65265",39.161037,-91.843575
"22","107 S Vine St, 63456",39.6528033,-91.735898
"23","11523 Highway J, 63456",39.6594664,-91.6617744
"24","65031 State Hwy 15, 63460",40.010436,-92.1645818
"25","12302 Highway 135, 65276",38.8680554,-92.9175121
"26","3090 Highway B, 63901",37.6662039,-89.8489921
"27","9238 Highway 87, 65068",38.8084264,-92.5854071
"28","613 County Hwy 434, 63873",36.4256585,-89.6990265
"29","19571 Whitfield Rd, 65301",38.7500737,-93.322436
"30","29261 North Highway 240, 65349",39.2130388,-93.0681108
"31","8270 W State Hwy 266, 65802",37.213292,-93.458551
"32","2811 S 11, 64503",39.7381414,-94.8457849
"33","28597 US Highway 136, 63565",40.4714089,-93.0218725
"34","12747 Market Road, 65084",38.4937683,-92.7214512
"35","215 Thomas Ln, 64096",39.2135346,-93.5913939
"36","1337 W Elevator St, 48472",43.4570418,-82.9717514
"37","102 S Walnut, 64429",39.739743,-94.2366275
"38","24395 State Hwy 6, 64640",39.929227,-93.940377
"39","33 PCR 540, 63775",37.6046322,-89.8408112
"40","2133 E State Hwy, 63780",37.2202367,-89.5071986
"41","50726 State Hwy 15, 63531",40.2210147,-92.210618
"42","31019 E 260th Ave, 64424",40.2634894,-93.931917
"43","13975 US Hwy 63, 63548",40.5342643,-92.5397553
"44","1058 Hwy 36, 63437",39.7333551,-92.2433487
"45","1246 W Highway K, 64762",38.794891,-90.6983023
"46","15311 N. Saline 65 Hwy., 65339",39.1939849,-93.3740552
"47","123 W. Main, 64742",38.4797868,-94.6113458
