Instrument,CF_NAME,CF_BID,CF_DATE,GEN_TEXT16,ROW80_1,ROW80_2,GN_TXT16_2,GN_TXT16_4,ROW80_3,Location
SOYBWCAADR-C1,SOYB MOADR SPOT ,-0.3,2/27/2020,West Central Ag ,West Central Ag                                                                 ,S71 Hwy                                                                         ,Adrian          ,Soybeans        ,"""Adrian, MO - 64720.  Phone - 816-2974-518""                                     ",SOYB MO Adrian  
SOYBWCAADR-G,SOYB MOADR FEB20,-0.3,2/27/2020,West Central Ag ,West Central Ag                                                                 ,S71 Hwy                                                                         ,Adrian          ,Soybeans        ,"""Adrian, MO - 64720.  Phone - 816-2974-518""                                     ",SOYB MO Adrian  
SOYBWCAADR-H,SOYB MOADR MAR20,NA,NA,West Central Ag ,West Central Ag                                                                 ,S71 Hwy                                                                         ,Adrian          ,Soybeans        ,"""Adrian, MO - 64720.  Phone - 816-2974-518""                                     ",SOYB MO Adrian  
SOYBWCAADR-J,SOYB MOADR APR20,NA,NA,West Central Ag ,West Central Ag                                                                 ,S71 Hwy                                                                         ,Adrian          ,Soybeans        ,"""Adrian, MO - 64720.  Phone - 816-2974-518""                                     ",SOYB MO Adrian  
SOYBWCAADR-K,SOYB MOADR MAY20,NA,NA,West Central Ag ,West Central Ag                                                                 ,S71 Hwy                                                                         ,Adrian          ,Soybeans        ,"""Adrian, MO - 64720.  Phone - 816-2974-518""                                     ",SOYB MO Adrian  
SOYBWCAADR-M,SOYB MOADR JUN20,-0.4,2/27/2020,West Central Ag ,West Central Ag                                                                 ,S71 Hwy                                                                         ,Adrian          ,Soybeans        ,"""Adrian, MO - 64720.  Phone - 816-2974-518""                                     ",SOYB MO Adrian  
SOYBWCAADR-N,SOYB MOADR JUL20,NA,NA,West Central Ag ,West Central Ag                                                                 ,S71 Hwy                                                                         ,Adrian          ,Soybeans        ,"""Adrian, MO - 64720.  Phone - 816-2974-518""                                     ",SOYB MO Adrian  
SOYBWCAADR-Q,SOYB MOADR AUG20,NA,NA,West Central Ag ,West Central Ag                                                                 ,S71 Hwy                                                                         ,Adrian          ,Soybeans        ,"""Adrian, MO - 64720.  Phone - 816-2974-518""                                     ",SOYB MO Adrian  
SOYBWCAADR-U,SOYB MOADR SEP20,NA,NA,West Central Ag ,West Central Ag                                                                 ,S71 Hwy                                                                         ,Adrian          ,Soybeans        ,"""Adrian, MO - 64720.  Phone - 816-2974-518""                                     ",SOYB MO Adrian  
SOYBWCAADR-V,SOYB MOADR OCT20,NA,NA,West Central Ag ,West Central Ag                                                                 ,"Adrian, MO - 64720                                                              ",Adrian          ,Soybeans        ,"""Adrian, MO - 64720.  Phone - 816-2974-518""                                     ",SOYB MO Adrian  
SOYBWCAADR-X,SOYB MOADR NOV20,-0.6,2/27/2020,West Central Ag ,West Central Ag                                                                 ,S71 Hwy                                                                         ,Adrian          ,Soybeans        ,"""Adrian, MO - 64720.  Phone - 816-2974-518""                                     ",SOYB MO Adrian  
SOYBWCAADR-Z,SOYB MOADR DEC20,NA,NA,West Central Ag ,West Central Ag                                                                 ,S71 Hwy                                                                         ,Adrian          ,Soybeans        ,"""Adrian, MO - 64720.  Phone - 816-2974-518""                                     ",SOYB MO Adrian  
SOYBWCAADR-F,SOYB MOADR JAN21,NA,NA,West Central Ag ,West Central Ag                                                                 ,S71 Hwy                                                                         ,Adrian          ,Soybeans        ,"""Adrian, MO - 64720.  Phone - 816-2974-518""                                     ",SOYB MO Adrian  
SOYBMFAALM-C1,SOYB MOALM SPOT ,-0.25,2/27/2020,MFA             ,MFA                                                                             ,106 E Collins St                                                                ,Alma            ,Soybeans        ,"""Alma, MO - 64001.  Phone - 660-6742-291""                                       ",SOYB MO Alma    
SOYBMFAALM-G,SOYB MOALM FEB20,-0.25,2/27/2020,MFA             ,MFA                                                                             ,106 E Collins St                                                                ,Alma            ,Soybeans        ,"""Alma, MO - 64001.  Phone - 660-6742-291""                                       ",SOYB MO Alma    
SOYBMFAALM-H,SOYB MOALM MAR20,NA,NA,MFA             ,MFA                                                                             ,106 E Collins St                                                                ,Alma            ,Soybeans        ,"""Alma, MO - 64001.  Phone - 660-6742-291""                                       ",SOYB MO Alma    
SOYBMFAALM-J,SOYB MOALM APR20,NA,NA,MFA             ,MFA                                                                             ,106 E Collins St                                                                ,Alma            ,Soybeans        ,"""Alma, MO - 64001.  Phone - 660-6742-291""                                       ",SOYB MO Alma    
SOYBMFAALM-K,SOYB MOALM MAY20,NA,NA,MFA             ,MFA                                                                             ,106 E Collins St                                                                ,Alma            ,Soybeans        ,"""Alma, MO - 64001.  Phone - 660-6742-291""                                       ",SOYB MO Alma    
SOYBMFAALM-M,SOYB MOALM JUN20,NA,NA,MFA             ,MFA                                                                             ,106 E Collins St                                                                ,Alma            ,Soybeans        ,"""Alma, MO - 64001.  Phone - 660-6742-291""                                       ",SOYB MO Alma    
SOYBMFAALM-N,SOYB MOALM JUL20,NA,NA,MFA             ,MFA                                                                             ,106 E Collins St                                                                ,Alma            ,Soybeans        ,"""Alma, MO - 64001.  Phone - 660-6742-291""                                       ",SOYB MO Alma    
SOYBMFAALM-Q,SOYB MOALM AUG20,NA,NA,MFA             ,MFA                                                                             ,106 E Collins St                                                                ,Alma            ,Soybeans        ,"""Alma, MO - 64001.  Phone - 660-6742-291""                                       ",SOYB MO Alma    
SOYBMFAALM-U,SOYB MOALM SEP20,NA,NA,MFA             ,MFA                                                                             ,106 E Collins St                                                                ,Alma            ,Soybeans        ,"""Alma, MO - 64001.  Phone - 660-6742-291""                                       ",SOYB MO Alma    
SOYBMFAALM-V,SOYB MOALM OCT20,-0.7,2/27/2020,MFA             ,MFA                                                                             ,106 E Collins St                                                                ,Alma            ,Soybeans        ,"""Alma, MO - 64001.  Phone - 660-6742-291""                                       ",SOYB MO Alma    
SOYBMFAALM-X,SOYB MOALM NOV20,NA,NA,MFA             ,MFA                                                                             ,106 E Collins St                                                                ,Alma            ,Soybeans        ,"""Alma, MO - 64001.  Phone - 660-6742-291""                                       ",SOYB MO Alma    
SOYBMFAALM-Z,SOYB MOALM DEC20,NA,NA,MFA             ,MFA                                                                             ,106 E Collins St                                                                ,Alma            ,Soybeans        ,"""Alma, MO - 64001.  Phone - 660-6742-291""                                       ",SOYB MO Alma    
SOYBMFAALM-F,SOYB MOALM JAN21,NA,NA,MFA             ,MFA                                                                             ,106 E Collins St                                                                ,Alma            ,Soybeans        ,"""Alma, MO - 64001.  Phone - 660-6742-291""                                       ",SOYB MO Alma    
