"Instrument","CF_NAME","CF_BID","CF_DATE","GEN_TEXT16","ROW80_1","ROW80_2","GN_TXT16_2","GN_TXT16_4","ROW80_3","Location","octAvg","janAvg"
"SOYBADMBIN-C1","SOYB MOBIN SPOT ",NA,NA,"ADM             ","ADM                                                                             ","RR 1 Box 21                                                                     ","Baring          ","Soybeans        ","""Baring, MO - 63531.  Phone - 660-8924-411""                                     ","SOYB MO Baring  ",NA,NA
"SOYBADMCTR-C1","SOYB MOCTR SPOT ","-0.14","2020-03-06","ADM             ","ADM                                                                             ","200 E Lamb St                                                                   ","Center          ","Soybeans        ","""Center, MO - 63436.  Phone - 573-2673-692""                                     ","SOYB MO Center  ",-0.360909090909091,-0.203333333333333
"SOYBADMDRF-C1","SOYB MODRF SPOT ","0","2020-03-06","ADM             ","ADM                                                                             ","17700 South T Hwy                                                               ","Deerfield       ","Soybeans        ","""Deerfield, MO - 64741.  Phone - 417-9273-400""                                  ","SOYB MO Deerfiel",-0.43,-0.0738095238095238
"SOYBADMDUD-C1","SOYB MODUD SPOT ",NA,NA,"ADM             ","ADM                                                                             ","7466 US Highway 60                                                              ","Dudley          ","Soybeans        ","""Dudley, MO - 63936.  Phone - 573-9673-662""                                     ","SOYB MO Dudley  ",NA,NA
"SOYBADMLAB-C1","SOYB MOLAB SPOT ","-0.12","2020-03-06","ADM             ","ADM                                                                             ","210 N 7th St                                                                    ","La Belle        ","Soybeans        ","""La Belle, MO - 63447.  Phone - 800-5193-626""                                   ","SOYB MO La Belle",NA,-0.185238095238095
"SOYBADMLAD-C1","SOYB MOLAD SPOT ",NA,NA,"ADM             ","ADM                                                                             ","601 1st St                                                                      ","Laddonia        ","Soybeans        ","""Laddonia, MO - 63352.  Phone - 573-3735-311""                                   ","SOYB MO Laddonia",NA,NA
"SOYBADMLAL-C1","SOYB MOLAL SPOT ",NA,NA,"StheasternGrain ","Southeastern Grain                                                              ","605 Front St                                                                    ","Laclede         ","Soybeans        ","""Laclede, MO - 64651.  Phone - 660-9632-227""                                    ","SOYB MO Laclede ",NA,NA
"SOYBADMLAP-C1","SOYB MOLAP SPOT ",NA,NA,"ADM             ","ADM                                                                             ","East Moore Street                                                               ","La Plata        ","Soybeans        ","""La Plata, MO - 63549.  Phone - 800-4734-517""                                   ","SOYB MO La Plata",NA,NA
"SOYBADMMCN-C1","SOYB MOMCN SPOT ","-0.18","2020-03-06","ADM             ","ADM                                                                             ","100 Front St                                                                    ","Macon           ","Soybeans        ","""Macon, IL - 62544.  Phone - 217-7643-345""                                      ","SOYB MO Macon   ",-0.340909090909091,-0.17
"SOYBADMMEX-C1","SOYB MOMEX SPOT ","-0.03","2020-03-06","ADM             ","ADM                                                                             ","400 E Holt                                                                      ","Mexico          ","Soybeans        ","""Mexico, MO - 65265.  Phone - 573-5814-195""                                     ","SOYB MO Mexico  ",-0.45,-0.0885714285714286
