Instrument,CF_NAME,CF_BID,CF_DATE,GEN_TEXT16,ROW80_1,ROW80_2,GN_TXT16_2,GN_TXT16_4,ROW80_3,Location
SOYBWCAADR-C1,SOYB MOADR SPOT ,-0.3,2/27/2020,West Central Ag ,West Central Ag                                                                 ,S71 Hwy                                                                         ,Adrian          ,Soybeans        ,"""Adrian, MO - 64720.  Phone - 816-2974-518""                                     ",SOYB MO Adrian  
SOYBMFAALM-C1,SOYB MOALM SPOT ,-0.25,2/27/2020,MFA             ,MFA                                                                             ,106 E Collins St                                                                ,Alma            ,Soybeans        ,"""Alma, MO - 64001.  Phone - 660-6742-291""                                       ",SOYB MO Alma    
SOYBADMBIN-C1,SOYB MOBIN SPOT ,NA,NA,ADM             ,ADM                                                                             ,RR 1 Box 21                                                                     ,Baring          ,Soybeans        ,"""Baring, MO - 63531.  Phone - 660-8924-411""                                     ",SOYB MO Baring  
SOYBGFGBTH-C1,SOYB MOBTH SPOT ,NA,NA,GangesFeedandGra,31019 E 260th Ave                                                               ,"Bethany, MO - 64424                                                             ",Bethany         ,Soybeans        ,660-425-3014                                                                    ,SOYB MO Bethany 
SOYBCAEBCB-C1,SOYB MOBCB SPOT ,-0.25,2/27/2020,C.Missouri AgriS,Central Missouri AgriService                                                    ,PO Box 151                                                                      ,Blackburn       ,Soybeans        ,"""Blackburn, MO - 65321.  Phone - 660-5384-543""                                  ",SOYB MO Blackbrn
SOYBMFABOO-C1,SOYB MOBOO SPOT ,NA,NA,MFA             ,MFA                                                                             ,605 E Water St                                                                  ,Boonville       ,Soybeans        ,"""Boonville, MO - 65233.  Phone - 660-8822-290""                                  ",SOYB MO Boonvill
SOYBCNMBYM-C1,SOYB MOBYM SPOT ,-0.29,2/27/2020,Consumers       ,Consumers                                                                       ,100 Raiload St                                                                  ,Braymer         ,Soybeans        ,"""Braymer, MO - 64624.  Phone - 660-6452-215""                                    ",SOYB MO Braymer 
SOYBMFABWI-C1,SOYB MOBWI SPOT ,-0.55,2/27/2020,MFA             ,MFA                                                                             ,105 S Highway 5                                                                 ,Browning        ,Soybeans        ,"""Browning, MO - 64630.  Phone - 660-9464-114""                                   ",SOYB MO Browning
SOYBRCGBRU-C1,SOYB MOBRU SPOT ,-0.25,2/27/2020,RayCarrollGrain ,Ray Carroll Grain                                                               ,17149 Hwy 24                                                                    ,Brunswick       ,Soybeans        ,"""Brunswick, MO - 65236.  Phone - 660-5483-131""                                  ",SOYB MO Brunswic
SOYBMFABRL-C1,SOYB MOBRL SPOT ,-0.56,2/27/2020,MFA             ,MFA                                                                             ,110 W Main                                                                      ,Burlington Junct,Soybeans        ,"""Burlington Junction, MO - 64428.  Phone - 660-7253-302""                        ",SOYB MO Burlingt
SOYBSCCCIV-C1,SOYB MOCIV SPOT ,-0.62,2/27/2020,SouthCentralCoop,South Central Coop                                                              ,1301 Main St                                                                    ,Cainsville      ,Soybeans        ,"""Cainsville, MO - 64632.  Phone - 660-8935-218""                                 ",SOYB MO Cainsvil
SOYBRCGCAR2-C1,SOYB MOCA2 SPOT ,-0.35,2/27/2020,RayCarrollGrain ,Ray Carroll Grain                                                               ,30537 CR 308                                                                    ,Carrollton      ,Soybeans        ,"""Carrollton, MO - 64687.  Phone - 660-5422-412""                                 ",SOYB MO Carroll2
SOYBRCGCAR-C1,SOYB MOCAR SPOT ,-0.25,2/27/2020,RayCarrollGrain ,Ray Carroll Grain                                                               ,26274 Hwy 24                                                                    ,Carrollton      ,Soybeans        ,"""Carrollton, MO - 64633.  Phone - 660-5422-745""                                 ",SOYB MO Carrollt
