"geoFormatAddress","instrument","basis","date","terminalName","county","cropType","lat","long"
"1 E Pacific St, 65339","SOYBCAEMBN-C1",-0.25,"2/27/2020","Central Missouri AgriService","Malta Bend","Soybeans",39.1975179,-93.3611998
"1 East Grand Ave, 63101","SOYBADMSTL-C1",0.31,"2/27/2020","ADM","Saint Louis","Soybeans",38.6788479,-90.1934637
"1 N Brunswick St, 64601","SOYBMLBCHL-C1",-0.44,"2/27/2020","Milbank Mills","Chillicothe","Soybeans",39.7889679,-93.5458979
"100 Railroad street, 64624","SOYBCNMBYM-C1",-0.29,"2/27/2020","Consumers","Braymer","Soybeans",39.5875458,-93.791676
"100 Ward Ave, 63830","SOYBBNGCRT-C1",0.28,"2/27/2020","Bunge","Caruthersville","Soybeans",36.1938807,-89.652528
"1005 E Lake Blvd, 64501","SOYBBRGSTJ-C1",-0.2,"2/27/2020","Bartlett Grain","St Joseph","Soybeans",39.73388,-94.8477455
"101 S Cherry St, 64668","SOYBRCGNRB-C1",-0.25,"2/27/2020","Ray Carroll Grain","Norborne","Soybeans",39.30249,-93.68024
"102 Main St, 64437","SOYBCGICRA-C1",-0.5,"2/27/2020","Craig Grain","Craig","Soybeans",40.1918626,-95.3743945
"102 S Walnut, 64429","SOYBCEVCME-C1",-0.38,"2/27/2020","Cameron Elevator","Cameron","Soybeans",39.739743,-94.2366275
"103 N Main St, 64019","SOYBWCACNV-C1",-0.3,"2/27/2020","West Central Ag","Centerview","Soybeans",38.7441852,-93.844896
"1035 MO-79, 63353","SOYBBNGLOU-C1",-0.05,"2/27/2020","Bunge","Louisiana","Soybeans",39.440695,-91.035336
"105 E John, 64659","SOYBBAAMEV-C1",-0.46,"2/27/2020","Butterfield and Assoc Grain","Meadville","Soybeans",39.7853544,-93.3021066
"105 S Highway 5, 64630","SOYBMFABWI-C1",-0.55,"2/27/2020","MFA","Browning","Soybeans",40.034761,-93.161919
"105 W 22nd St, 64037","SOYBMFAHGN-C1",-0.25,"2/27/2020","MFA","Higginsville","Soybeans",39.0726437,-93.7195812
"106 E Collins St, 64001","SOYBMFAALM-C1",-0.25,"2/27/2020","MFA","Alma","Soybeans",39.0950551,-93.5450398
"107 S Vine St, 63456","SOYBFREMOE-C1",-0.15,"2/27/2020","Farmers Elevator","Monroe City","Soybeans",39.6528033,-91.735898
"107 W 6th St, 65682","SOYBLFELKW-C1",-0.5,"2/27/2020","Lockwood Farmers Exchange","Lockwood","Soybeans",37.3877397,-93.9577558
"108 Market St, 65240","SOYBMFACTL-C1",-0.12,"2/27/2020","MFA","Centralia","Soybeans",39.2601347,-92.1057549
"1101 W Main St, 64428","SOYBMFABRL-C1",-0.56,"2/27/2020","MFA","Burlington Junct","Soybeans",40.44543,-95.077368
"111 NW RailRoad St, 64076","SOYBMFAODS-C1",-0.25,"2/27/2020","MFA","Odessa","Soybeans",39.0013624,-93.9548073
"112 W Des Moines St, 63472","SOYBURSWYL-C1",-0.1,"2/27/2020","Ursa Farmers Coop","Wayland","Soybeans",40.3948524,-91.5947695
"115 Bluff St, 65069","SOYBADMRNL-C1",-0.05,"2/27/2020","ADM","Rhineland","Soybeans",38.7195747,-91.5133534
"11523 Highway J, 63456","SOYBHCLMOE-C1",-0.16,"2/27/2020","Hassard Elevator","Monroe City","Soybeans",39.6594664,-91.6617744
"1201 N 25th St, 64424","SOYBMFABTH-C1",-0.45,"2/27/2020","MFA","Bethany","Soybeans",40.2792416,-94.0273924
"1209 Industrial Blvd, 64701","SOYBSLCHRL-C1",-0.25,"2/27/2020","Scoular Grain","Harrisonville","Soybeans",38.6614207,-94.3570678
"123 W. Main, 64742","SOYBMWIDRZ-C1",-0.45,"2/27/2020","Midwest Fertilizer Inc","Drexel","Soybeans",38.4797868,-94.6113458
