"","Instrument","CF_NAME","CF_BID","CF_DATE","GEN_TEXT16","ROW80_1","ROW80_2","GN_TXT16_2","GN_TXT16_4","ROW80_3","Location"
"1","CORNWCAADR-C1","CORN MOADR SPOT ","0.1","2020-02-19","West Central Ag ","West Central Ag                                                                 ","S71 Hwy                                                                         ","Adrian          ","Corn            ","""Adrian, MO - 64720.  Phone - 816-2974-518""                                     ","CORN MO Adrian  "
"14","CORNMFAALM-C1","CORN MOALM SPOT ","0","2020-02-19","MFA             ","MFA                                                                             ","106 E Collins St                                                                ","Alma            ","Corn            ","""Alma, MO - 64001.  Phone - 660-6742-291""                                       ","CORN MO Alma    "
"27","CORNADMBIN-C1","CORN MOBIN SPOT ",NA,NA,"ADM             ","ADM                                                                             ","RR 1 Box 21                                                                     ","Baring          ","Corn            ","""Baring, MO - 63531.  Phone - 660-8924-411""                                     ","CORN MO Baring  "
"40","CORNGFGBTH-C1","CORN MOBTH SPOT ",NA,NA,"GangesFeedandGra","31019 E 260th Ave                                                               ","Bethany, MO - 64424                                                             ","Bethany         ","Corn            ","660-425-3014                                                                    ","CORN MO Bethany "
"53","CORNCAEBCB-C1","CORN MOBCB SPOT ","0","2020-02-19","C.Missouri AgriS","Central Missouri AgriService                                                    ","PO Box 151                                                                      ","Blackburn       ","Corn            ","""Blackburn, MO - 65321.  Phone - 660-5384-543""                                  ","CORN MO Blackbrn"
"66","CORNMFABOO-C1","CORN MOBOO SPOT ","0","2020-02-19","MFA             ","MFA                                                                             ","605 E Water St                                                                  ","Boonville       ","Corn            ","""Boonville, MO - 65233.  Phone - 660-8822-290""                                  ","CORN MO Boonvill"
"79","CORNCNMBYM-C1","CORN MOBYM SPOT ","-0.12","2020-02-19","Consumers       ","Consumers                                                                       ","100 Raiload St                                                                  ","Braymer         ","Corn            ","""Braymer, MO - 64624.  Phone - 660-6452-215""                                    ","CORN MO Braymer "
"92","CORNMFABWI-C1","CORN MOBWI SPOT ","-0.4","2020-02-19","MFA             ","MFA                                                                             ","105 S Highway 5                                                                 ","Browning        ","Corn            ","""Browning, MO - 64630.  Phone - 660-9464-114""                                   ","CORN MO Browning"
"105","CORNRCGBRU-C1","CORN MOBRU SPOT ","0","2020-02-19","RayCarrollGrain ","Ray Carroll Grain                                                               ","17149 Hwy 24                                                                    ","Brunswick       ","Corn            ","""Brunswick, MO - 65236.  Phone - 660-5483-131""                                  ","CORN MO Brunswic"
"118","CORNMFABRL-C1","CORN MOBRL SPOT ","-0.36","2020-02-19","MFA             ","MFA                                                                             ","110 W Main                                                                      ","Burlington Junct","Corn            ","""Burlington Junction, MO - 64428.  Phone - 660-7253-302""                        ","CORN MO Burlingt"
"131","CORNSCCCIV-C1","CORN MOCIV SPOT ","-0.23","2020-02-19","SouthCentralCoop","South Central Coop                                                              ","1301 Main St                                                                    ","Cainsville      ","Corn            ","""Cainsville, MO - 64632.  Phone - 660-8935-218""                                 ","CORN MO Cainsvil"
"144","CORNRCGCAR2-C1","CORN MOCA2 SPOT ","-0.1","2020-02-19","RayCarrollGrain ","Ray Carroll Grain                                                               ","30537 CR 308                                                                    ","Carrollton      ","Corn            ","""Carrollton, MO - 64687.  Phone - 660-5422-412""                                 ","CORN MO Carroll2"
"157","CORNRCGCAR-C1","CORN MOCAR SPOT ","0.15","2020-02-19","RayCarrollGrain ","Ray Carroll Grain                                                               ","26274 Hwy 24                                                                    ","Carrollton      ","Corn            ","""Carrollton, MO - 64633.  Phone - 660-5422-745""                                 ","CORN MO Carrollt"
"170","CORNBNGCRT-C1","CORN MOCRT SPOT ","0.24","2020-02-19","Bunge           ","Bunge                                                                           ","Carlton and Riverfront                                                          ","Caruthersville  ","Corn            ","""Caruthersville, MO - 63830.  Phone - 573-3334-121""                             ","CORN MO Caruther"
"183","CORNCGBCRT-C1","CORN MOCRT SPOT ","0.2","2020-02-19","Cnslidated Grain","Consolidated Grain and Barge                                                    ","Pemiscott Co Port Cty Rd 337                                                    ","Caruthersville  ","Corn            ","""Caruthersville, MO - 63830.  Phone - 573-3590-036""                             ","CORN MO Caruther"
"196","CORNADMCTR-C1","CORN MOCTR SPOT ","-0.17","2020-02-19","ADM             ","ADM                                                                             ","200 E Lamb St                                                                   ","Center          ","Corn            ","""Center, MO - 63436.  Phone - 573-2673-692""                                     ","CORN MO Center  "
"209","CORNWCACNV-C1","CORN MOCNV SPOT ","-0.1","2020-02-19","West Central Ag ","West Central Ag                                                                 ","S Graham St                                                                     ","Centerview      ","Corn            ","""Centerview, MO - 64019.  Phone - 800-8216-345""                                 ","CORN MO Centervi"
"222","CORNCRGCTL-C1","CORN MOCTL SPOT ","-0.05","2020-02-19","JBS United      ","JBS United                                                                      ","22701 N March Rd                                                                ","Centralia       ","Corn            ","""Centralia, MO - 65240.  Phone - 913-2360-894""                                  ","CORN MO Centrali"
